,Linear Regression,RandomForest Regressor,XGBoost Regressor
MSLE,0.002752161535524699,0.0008261272687317548,0.0006840925977999679
Root MSLE,0.0524610477928596,0.02874242976388313,0.026155163884020453
R2 Score,0.6226492447549415,0.8947684397730025,0.9126090094439843
Accuracy(%),62.2649,89.4768,91.2609
